Summa: 3.02; Type: 2; Tran_id: 3854; Tran_id_ik: 79066265; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 14.09.2017 15:00; SIGN1: TLCCTF1A/WlSRRJWkmP1VA==; SIGN2:TLCCTF1A/WlSRRJWkmP1VA==
Summa: 3.02; Type: 2; Tran_id: 3858; Tran_id_ik: 79066361; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 14.09.2017 15:02; SIGN1: zKSI5nWzXnSgP2MLMH1uLQ==; SIGN2:zKSI5nWzXnSgP2MLMH1uLQ==
Summa: 26.25; Type: 2; Tran_id: 3957; Tran_id_ik: 79086193; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 14.09.2017 21:44; SIGN1: BXMBPjjN/NGDpLFNLH747A==; SIGN2:BXMBPjjN/NGDpLFNLH747A==
Summa: 5.00; Type: 6; Tran_id: 4007; Tran_id_ik: 79096587; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 15.09.2017 06:30; SIGN1: Ohkv3Pu3kA/cd670FpSggA==; SIGN2:Ohkv3Pu3kA/cd670FpSggA==
Summa: 100.00; Type: 1; Tran_id: 4143; Tran_id_ik: 79123225; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 15.09.2017 18:11; SIGN1: 10IWbKq52nkoF/tedRfImw==; SIGN2:10IWbKq52nkoF/tedRfImw==
Summa: 140.00; Type: 1; Tran_id: 4152; Tran_id_ik: 79127171; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 15.09.2017 19:26; SIGN1: rHyCJh5SCiURvI/JxwOlEQ==; SIGN2:rHyCJh5SCiURvI/JxwOlEQ==
Summa: 120.00; Type: 1; Tran_id: 4454; Tran_id_ik: 79186345; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 16.09.2017 23:26; SIGN1: yHJCKYH6WNx7N8Ahjvj8kg==; SIGN2:yHJCKYH6WNx7N8Ahjvj8kg==
Summa: 52.92; Type: 2; Tran_id: 4498; Tran_id_ik: 79193427; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 17.09.2017 07:19; SIGN1: H48MfQL/x7E2s9bOipxM4Q==; SIGN2:H48MfQL/x7E2s9bOipxM4Q==
Summa: 7.00; Type: 1; Tran_id: 4987; Tran_id_ik: 79286375; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 19.09.2017 06:32; SIGN1: 82nUf/W7Siea9ZhWP+W0CA==; SIGN2:82nUf/W7Siea9ZhWP+W0CA==
Summa: 25.50; Type: 2; Tran_id: 5167; Tran_id_ik: 79312629; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 19.09.2017 18:17; SIGN1: 1C+XrT2IMSVjwWWGeUoKpA==; SIGN2:1C+XrT2IMSVjwWWGeUoKpA==
Summa: 12.75; Type: 2; Tran_id: 5371; Tran_id_ik: 79359151; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 20.09.2017 18:17; SIGN1: qAvnJ8zhObtSjFuLZJBE3Q==; SIGN2:qAvnJ8zhObtSjFuLZJBE3Q==
Summa: 5.00; Type: 1; Tran_id: 5486; Tran_id_ik: 79380977; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 21.09.2017 07:24; SIGN1: k6VhNwSMGoETFDoPFZxLSw==; SIGN2:k6VhNwSMGoETFDoPFZxLSw==
Summa: 13.50; Type: 2; Tran_id: 5779; Tran_id_ik: 79457451; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 22.09.2017 18:47; SIGN1: nq78qBx517qJizHloIL8NQ==; SIGN2:nq78qBx517qJizHloIL8NQ==
Summa: 5.00; Type: 1; Tran_id: 5864; Tran_id_ik: 79478185; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 23.09.2017 05:41; SIGN1: 9FthsjTOFeJZNamvqGFs4A==; SIGN2:9FthsjTOFeJZNamvqGFs4A==
Summa: 6.38; Type: 2; Tran_id: 5953; Tran_id_ik: 79494771; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 23.09.2017 14:38; SIGN1: 1LkWBSeowFtDTL92xMSceg==; SIGN2:1LkWBSeowFtDTL92xMSceg==
Summa: 6.38; Type: 2; Tran_id: 5954; Tran_id_ik: 79494823; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 23.09.2017 14:39; SIGN1: beZ+wAQhW+L0jI/7FYQuiA==; SIGN2:beZ+wAQhW+L0jI/7FYQuiA==
Summa: 27.00; Type: 2; Tran_id: 5983; Tran_id_ik: 79500415; Method: qiwi_qiwi_merchantPsp_rub; Status: success; Date: 23.09.2017 16:50; SIGN1: TT3etC4oRgXu/I2fTyuKKg==; SIGN2:TT3etC4oRgXu/I2fTyuKKg==
