AMOUNT: 1000.00; SHP_ITEM: 1; ORDER_ID: 888; FK_ORDER_ID: 24047680; CUR_ID: 94; DATE: 04.09.2017 01:45; SIGN: 80312E156526DDC02753786DCEBF259A; MY_SIGN: 80312E156526DDC02753786DCEBF259A;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1401; FK_ORDER_ID: 24086700; CUR_ID: 155; DATE: 04.09.2017 17:50; SIGN: CB9134E48CAE660007ABA50A2251C795; MY_SIGN: CB9134E48CAE660007ABA50A2251C795;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1436; FK_ORDER_ID: 24091421; CUR_ID: 155; DATE: 04.09.2017 20:04; SIGN: 744869334478A2F07382A3A13D45C277; MY_SIGN: 744869334478A2F07382A3A13D45C277;
AMOUNT: 120.00; SHP_ITEM: 1; ORDER_ID: 1503; FK_ORDER_ID: 24096568; CUR_ID: 155; DATE: 04.09.2017 23:02; SIGN: C8A0C0A5C7ACE6D3E69E0B05E36235BA; MY_SIGN: C8A0C0A5C7ACE6D3E69E0B05E36235BA;
AMOUNT: 5.00; SHP_ITEM: 1; ORDER_ID: 1636; FK_ORDER_ID: 24135655; CUR_ID: 155; DATE: 06.09.2017 12:13; SIGN: ECBA61806BD0065296A3AA8D326165FB; MY_SIGN: ECBA61806BD0065296A3AA8D326165FB;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1898; FK_ORDER_ID: 24164021; CUR_ID: 155; DATE: 07.09.2017 09:14; SIGN: A4BA40DF7C9AA3AEE71348F3DA4944F9; MY_SIGN: A4BA40DF7C9AA3AEE71348F3DA4944F9;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 1899; FK_ORDER_ID: 24164038; CUR_ID: 155; DATE: 07.09.2017 09:32; SIGN: E59BA7370F732F8E58C89D89BC00CA36; MY_SIGN: E59BA7370F732F8E58C89D89BC00CA36;
AMOUNT: 30.00; SHP_ITEM: 1; ORDER_ID: 1974; FK_ORDER_ID: 24171100; CUR_ID: 84; DATE: 07.09.2017 14:27; SIGN: 327CBAEB99D37F4775FB2CCBF02EE794; MY_SIGN: 327CBAEB99D37F4775FB2CCBF02EE794;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2064; FK_ORDER_ID: 24183954; CUR_ID: 155; DATE: 07.09.2017 20:26; SIGN: F78DBDE11CA492B2802099DE72279C12; MY_SIGN: F78DBDE11CA492B2802099DE72279C12;
AMOUNT: 4.00; SHP_ITEM: 6; ORDER_ID: 2189; FK_ORDER_ID: 24194541; CUR_ID: 155; DATE: 08.09.2017 09:44; SIGN: 9737CE7375A5A22E477D06C25C3075CB; MY_SIGN: 9737CE7375A5A22E477D06C25C3075CB;
AMOUNT: 4.00; SHP_ITEM: 6; ORDER_ID: 2190; FK_ORDER_ID: 24194563; CUR_ID: 155; DATE: 08.09.2017 09:45; SIGN: 6786AED555E0B79729DD4E19C29F54FE; MY_SIGN: 6786AED555E0B79729DD4E19C29F54FE;
AMOUNT: 5.00; SHP_ITEM: 1; ORDER_ID: 2294; FK_ORDER_ID: 24203593; CUR_ID: 155; DATE: 08.09.2017 15:05; SIGN: D31134D337F4BCC0ACDF5D50D50E6905; MY_SIGN: D31134D337F4BCC0ACDF5D50D50E6905;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2342; FK_ORDER_ID: 24209621; CUR_ID: 155; DATE: 08.09.2017 17:33; SIGN: 847E3B200C6C65C1B2C65B1F973BE0A8; MY_SIGN: 847E3B200C6C65C1B2C65B1F973BE0A8;
AMOUNT: 600.00; SHP_ITEM: 1; ORDER_ID: 2486; FK_ORDER_ID: 24230613; CUR_ID: 94; DATE: 09.09.2017 10:18; SIGN: B9DF0A20A16A1F24A712CA1C7EEF357C; MY_SIGN: B9DF0A20A16A1F24A712CA1C7EEF357C;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2531; FK_ORDER_ID: 24238584; CUR_ID: 155; DATE: 09.09.2017 13:41; SIGN: E0928EFB06275B85F411378400F383CF; MY_SIGN: E0928EFB06275B85F411378400F383CF;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2611; FK_ORDER_ID: 24250068; CUR_ID: 155; DATE: 09.09.2017 18:18; SIGN: C2BD6086659B42881005E9419768E37F; MY_SIGN: C2BD6086659B42881005E9419768E37F;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2637; FK_ORDER_ID: 24256570; CUR_ID: 155; DATE: 09.09.2017 20:57; SIGN: BEA2E2E1DD3B2DA81CBF0EA0141ABAC3; MY_SIGN: BEA2E2E1DD3B2DA81CBF0EA0141ABAC3;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 2719; FK_ORDER_ID: 24266096; CUR_ID: 155; DATE: 10.09.2017 07:43; SIGN: 97097EF10A38128B6DA5DD6601AE2618; MY_SIGN: 97097EF10A38128B6DA5DD6601AE2618;
